energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name_artist,name_track,popularity,genre
0.651,0.124,130.066,0.0529,0.0948,0.0,4,0.879,0,190101,-2.6,0.505,0,audio_features,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,MC K.K,Agudo Mágico 4,78,funk mandelao
0.865,0.297,129.999,0.0315,0.449,3.05e-06,4,0.743,6,166775,-3.897,0.794,1,audio_features,spotify:track:53PpijFATt35Zxfl6LTxoK,Marília Mendonça,Leão,75,arrocha
0.978,0.264,175.96,0.0477,0.424,0.0,4,0.739,8,214091,-2.617,0.958,1,audio_features,spotify:track:7GjAXYuxjuXPbQJzRnNdob,GREGO,Pane no Sistema,76,N/A
0.762,0.0857,129.989,0.0452,0.318,0.000237,4,0.884,4,136615,-2.344,0.962,0,audio_features,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Felipe Amorim,Fode Bem,74,arrocha
0.954,0.392,164.109,0.18,0.13,0.0,4,0.483,9,175468,-4.786,0.361,1,audio_features,spotify:track:4zUFA8l78k4tCmoVuGtV8z,Luan Santana,MEIO TERMO - Ao Vivo,85,arrocha
0.922,0.371,101.571,0.0606,0.112,0.0,4,0.477,1,173968,-3.394,0.521,1,audio_features,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Henrique & Juliano,Devia Ser Proibido - Ao Vivo Em Brasília,82,agronejo
0.893,0.803,153.778,0.0866,0.176,0.0,4,0.588,6,178812,-2.743,0.626,1,audio_features,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Simone Mendes,Erro Gostoso - Ao Vivo,65,sertanejo
0.91,0.395,166.057,0.0845,0.13,0.0,4,0.483,11,172005,-3.474,0.576,1,audio_features,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Henrique & Juliano,Traumatizei - Ao Vivo Em Brasília,74,agronejo
0.594,0.171,75.346,0.438,0.272,0.000931,5,0.621,1,148615,-2.104,0.678,1,audio_features,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Mc Danone,Vem Quebrando,81,funk bh
0.733,0.114,111.018,0.0319,0.256,0.0,1,0.75,6,131872,-3.18,0.844,0,audio_features,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,99,alt z
0.927,0.326,124.003,0.0854,0.29,0.0,4,0.82,10,152086,-2.785,0.867,1,audio_features,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Diego & Victor Hugo,Pirulito Vermelho,84,arrocha
0.703,0.326,142.064,0.0568,0.352,0.0,4,0.875,7,133385,-3.644,0.971,1,audio_features,spotify:track:3P2ubMyuL9NQOVU67TVCXA,Melody,"Love, Love",82,funk carioca
0.676,0.123,125.065,0.0573,0.0796,0.0,4,0.833,9,192321,-7.426,0.876,0,audio_features,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Kadu Martins,Halls na Língua,83,N/A
0.878,0.175,91.031,0.071,0.23,0.0,4,0.846,7,132555,-3.642,0.845,1,audio_features,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Gusttavo Lima,Oi Vida - Ao Vivo,84,agronejo
0.814,0.753,141.934,0.031,0.503,0.0,4,0.726,7,164075,-3.853,0.892,1,audio_features,spotify:track:2BlFIe0712LBUtTHxbqjme,NATTAN,Love Gostosinho - Ao Vivo,82,forro
0.801,0.525,151.391,0.0413,0.127,0.0,4,0.382,4,190294,-5.454,0.59,1,audio_features,spotify:track:0KhLYwYVhi13hMhxX73m55,Luan Santana,MULHER SEGURA - Ao Vivo,83,arrocha
0.925,0.766,71.49,0.385,0.396,0.0,4,0.418,1,169836,-2.941,0.627,1,audio_features,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Matheus & Kauan,Não Vitalício (Nunca Mais) - Ao Vivo,69,agronejo
0.687,0.117,129.991,0.0464,0.233,4.77e-05,4,0.819,1,154024,-2.213,0.475,0,audio_features,spotify:track:307kaV2BoOC4pRRzwJUJxf,Anitta,Mil Veces,80,funk pop
0.854,0.382,139.958,0.0761,0.177,0.0,4,0.657,8,207344,-4.424,0.714,1,audio_features,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,Luan Pereira,MOLETOM,83,agronejo
0.729,0.164,132.012,0.0471,0.498,0.0,4,0.715,2,155768,-4.587,0.717,1,audio_features,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Hugo & Guilherme,Elevador - Ao Vivo,82,agronejo
0.49,0.106,86.272,0.178,0.332,0.0,3,0.799,7,104145,-6.788,0.662,0,audio_features,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,KayBlack,Segredo,78,trap brasileiro
0.732,0.244,141.944,0.0372,0.784,0.0,4,0.686,1,169559,-5.878,0.659,0,audio_features,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Israel & Rodolffo,Eu Não Dou Conta - Ao Vivo,79,agronejo
